         88457743 function calls in 59.583 seconds

   Ordered by: cumulative time
   List reduced from 192 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      122    0.001    0.000    0.005    0.000 /home/victoria/projects/primordial/primordial/simulation/genome.py:65(mutate)
     1234    0.002    0.000    0.005    0.000 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:155(simulation_timing_is_suppressed)
     2468    0.003    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/rendering/action_bar.py:148(command_items)
     1234    0.002    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:333(_can_render_direct_to_screen)
      304    0.002    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:96(_draw_loop)
      705    0.004    0.000    0.004    0.000 {function Random.seed at 0x76fb424fafc0}
     7965    0.004    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:3942(predator_prey_game_over_active)
     1795    0.003    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:960(drain_active_attacks)
      253    0.002    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:125(_draw_fork)
     3660    0.002    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:215(scale)
      311    0.000    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:200(wander)
     1234    0.002    0.000    0.003    0.000 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:74(planned_sim_steps)
     7039    0.003    0.000    0.003    0.000 {method 'set_alpha' of 'pygame.surface.Surface' objects}
     8526    0.003    0.000    0.003    0.000 {method 'clear' of 'list' objects}
      311    0.001    0.000    0.003    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:241(_wander_swim)
       90    0.001    0.000    0.003    0.000 /home/victoria/projects/primordial/primordial/simulation/genome.py:103(mutate_one)
     1234    0.002    0.000    0.003    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:655(_draw_predator_prey_game_over_overlay)
     1952    0.001    0.000    0.003    0.000 /home/victoria/projects/primordial/primordial/simulation/genome.py:79(mutate_trait)
      212    0.002    0.000    0.003    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:3173(_should_branch_lineage)
     1234    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:645(parent)
     1234    0.002    0.000    0.003    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:1287(_draw_territory_shimmer)
      257    0.001    0.000    0.003    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:198(_draw_dot)
      264    0.001    0.000    0.002    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:74(_draw_line)
      177    0.001    0.000    0.002    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:384(<lambda>)
     3702    0.002    0.000    0.002    0.000 /home/victoria/projects/primordial/primordial/rendering/action_bar.py:161(is_suppressed)
     1234    0.001    0.000    0.002    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:1970(update_predator_prey_runtime)
     1234    0.002    0.000    0.002    0.000 /home/victoria/projects/primordial/primordial/rendering/inspect_mode.py:556(draw_inspect_overlay)
     1234    0.002    0.000    0.002    0.000 {method 'get_size' of 'pygame.surface.Surface' objects}
      539    0.001    0.000    0.002    0.000 /usr/lib/python3.12/random.py:551(gauss)
     3702    0.002    0.000    0.002    0.000 {method 'append' of 'collections.deque' objects}
     3029    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
      122    0.000    0.000    0.002    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:3162(_branch_lineage_id)
     1233    0.002    0.000    0.002    0.000 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:92(_clamp_accumulator)
     3660    0.001    0.000    0.001    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:42(_ease_out_cubic)


